Canada,pp30_1_2_Standard_15,,112015,P30
Canada,pp30_1_2_Standard_16,,112016,P30
Canada,pp30_1_2_Standard_17,,112017,P30
Canada,pp30_1_2_Standard_18,,112018,P30
Canada,pp30_1_2_Standard_19,,112019,P30
Canada,pp30_1_2_NoDtmf1,,112020,P30
Canada,pp30_1_2_NoDtmf2,,112021,P30
Canada,pp30_1_2_NoDtmf3,,112022,P30
Canada,pp30_1_2_NoDtmf4,,112023,P30
Canada,pp30_1_2_NoDtmf5,,112024,P30
Canada,pp30_1_2_NoDtmf6,,112025,P30
Canada,pp30_1_2_NoDtmf7,,112026,P30
Canada,pp30_1_2_NoDtmf8,,112027,P30
Canada,pp30_1_2_NoDtmf9,,112028,P30
Canada,pp30_1_2_NoDtmf0,,112029,P30
Canada,pp30_1_2_NoDtmfStar,,112030,P30
Canada,pp30_1_2_NoDtmf#,,112031,P30
Canada,pp30_1_2_NoDtmfs,,112032,P30
Canada,pp30_1_2_NoRtd1,,112033,P30
Canada,pp30_1_2_NoRtd2,,112034,P30
Canada,pp30_1_2_NoRtd3,,112035,P30
Canada,pp30_1_2_NoRtds,,112036,P30
Canada,pp30_1_2_NoFax1100,,112037,P30
Canada,pp30_1_2_NoFax2100,,112038,P30
Canada,pp30_1_2_NoFaxs,,112039,P30
Canada,pp30_1_2_SpeechPow-4.5,,112040,P30
Canada,pp30_1_2_SpeechPow+4.5,,112041,P30
Canada,pp30_1_2_SpeechWhNoise-40,,112042,P30
Canada,pp30_1_2_CmsgNoise-40,,112043,P30
Canada,pp30_1_2_DTMFModDuration,,112044,P30
Canada,pp30_1_2_FaxHalfDuration,,112045,P30
Canada,pp30_1_3_Standard_00,,113000,P30
Canada,pp30_1_3_Standard_01,,113001,P30
Canada,pp30_1_3_Standard_02,,113002,P30
Canada,pp30_1_3_Standard_03,,113003,P30
Canada,pp30_1_3_Standard_04,,113004,P30
Canada,pp30_1_3_Standard_05,,113005,P30
Canada,pp30_1_3_Standard_06,,113006,P30
Canada,pp30_1_3_Standard_07,,113007,P30
Canada,pp30_1_3_Standard_08,,113008,P30
Canada,pp30_1_3_Standard_09,,113009,P30
