China,"Shanghai",,99001,MTA
China,"Shanghai",,99002,MTA
China,"Shanghai",,99003,MTA
China,"Shanghai",,99004,MTA
China,"Shanghai",,99005,MTA
China,"Shanghai",,99006,MTA
China,"Shanghai",,99007,MTA
China,"Shanghai",,99008,MTA
China,"Shanghai",,99009,MTA
China,"Shanghai",,99010,MTA
China,"Shanghai",,99011,MTA
China,"Shanghai",,99012,MTA
China,"Shanghai",,99013,MTA
China,"Shanghai",,99014,MTA
China,"Shanghai",,99015,MTA
China,"Shanghai",,99016,MTA
China,"Shanghai",,99017,MTA
China,"Shanghai",,99018,MTA
China,"Shanghai",,99019,MTA
China,"Shanghai",,99020,MTA
China,"Shanghai",,99021,MTA
China,"Shanghai",,99022,MTA
China,"Shanghai",,99023,MTA
China,"Shanghai",,99024,MTA
China,"Shanghai",,99025,MTA
China,"Shanghai",,99026,MTA
China,"Shanghai",,99027,MTA
China,"Shanghai",,99028,MTA
China,"Shanghai",,99029,MTA
China,"Shanghai",,99030,MTA
China,"Shanghai",,99031,MTA
China,"Shanghai",,99032,MTA
