USA,Abbeville LA,,710001,ANN,,,,,,,,,,,,,,,,,,,,AcctCodeInvalid
USA,Abbeville LA,,710002,ANN,,,,,,,,,,,,,,,,,,,,AcctCodeRequired
USA,Abbeville LA,,710003,ANN,,,,,,,,,,,,,,,,,,,,AcctLocked
USA,Abbeville LA,,710004,ANN,,,,,,,,,,,,,,,,,,,,ACRactive
USA,Abbeville LA,,710005,ANN,,,,,,,,,,,,,,,,,,,,ACRDeact
USA,Abbeville LA,,710006,ANN,,,,,,,,,,,,,,,,,,,,ACRisActive
USA,Abbeville LA,,710007,ANN,,,,,,,,,,,,,,,,,,,,ACRNotActive
USA,Abbeville LA,,710008,ANN,,,,,,,,,,,,,,,,,,,,AllFWD2voiceMail
USA,Abbeville LA,,710009,ANN,,,,,,,,,,,,,,,,,,,,ARPrivacy
USA,Abbeville LA,,710010,ANN,,,,,,,,,,,,,,,,,,,,At
USA,Abbeville LA,,710011,ANN,,,,,,,,,,,,,,,,,,,,AuthCodeInvalid
USA,Abbeville LA,,710012,ANN,,,,,,,,,,,,,,,,,,,,AuthCodeRequired
USA,Abbeville LA,,710013,ANN,,,,,,,,,,,,,,,,,,,,BadPINformat
USA,Abbeville LA,,710014,ANN,,,,,,,,,,,,,,,,,,,,BadSACCombo
USA,Abbeville LA,,710015,ANN,,,,,,,,,,,,,,,,,,,,Bar3DigitAccess
USA,Abbeville LA,,710016,ANN,,,,,,,,,,,,,,,,,,,,BarAllCalls
USA,Abbeville LA,,710017,ANN,,,,,,,,,,,,,,,,,,,,BarAllInternational
USA,Abbeville LA,,710018,ANN,,,,,,,,,,,,,,,,,,,,BarAllLocalToll
USA,Abbeville LA,,710019,ANN,,,,,,,,,,,,,,,,,,,,BarAllLongDistance
USA,Abbeville LA,,710020,ANN,,,,,,,,,,,,,,,,,,,,BarAllNational
USA,Abbeville LA,,710021,ANN,,,,,,,,,,,,,,,,,,,,BarAllWithEmerg
USA,Abbeville LA,,710022,ANN,,,,,,,,,,,,,,,,,,,,BarCarrier
USA,Abbeville LA,,710023,ANN,,,,,,,,,,,,,,,,,,,,BarCarrierPrefixed
USA,Abbeville LA,,710024,ANN,,,,,,,,,,,,,,,,,,,,BarDA
USA,Abbeville LA,,710025,ANN,,,,,,,,,,,,,,,,,,,,BarDefinedCat1
USA,Abbeville LA,,710026,ANN,,,,,,,,,,,,,,,,,,,,BarDefinedCat2
USA,Abbeville LA,,710027,ANN,,,,,,,,,,,,,,,,,,,,BarDefinedCat3
USA,Abbeville LA,,710028,ANN,,,,,,,,,,,,,,,,,,,,BarDirectoryAssistance
USA,Abbeville LA,,710029,ANN,,,,,,,,,,,,,,,,,,,,BarEmergency
USA,Abbeville LA,,710030,ANN,,,,,,,,,,,,,,,,,,,,BarEmergencyCalls
USA,Abbeville LA,,710031,ANN,,,,,,,,,,,,,,,,,,,,BarFGBCarrierDialed
USA,Abbeville LA,,710032,ANN,,,,,,,,,,,,,,,,,,,,BargeInDenied
USA,Abbeville LA,,710033,ANN,,,,,,,,,,,,,,,,,,,,BargeInRejected
USA,Abbeville LA,,710034,ANN,,,,,,,,,,,,,,,,,,,,BarInternational
USA,Abbeville LA,,710035,ANN,,,,,,,,,,,,,,,,,,,,BarLocalToll
