China,Beijing,,710001,P30
China,Beijing,,710002,P30
China,Beijing,,710003,P30
China,Beijing,,710004,P30
China,Beijing,,710005,P30
China,Beijing,,710006,P30
China,Beijing,,710007,P30
China,Beijing,,710008,P30
China,Beijing,,710009,P30
China,Beijing,,710010,P30
China,Beijing,,710011,P30
China,Beijing,,710012,P30
China,Beijing,,710013,P30
China,Beijing,,710014,P30
China,Beijing,,710015,P30
China,Beijing,,710016,P30
China,Beijing,,710017,P30
China,Beijing,,710018,P30
China,Beijing,,710019,P30
China,Beijing,,710020,P30
